ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-11-01,42954.656945013674,70546.03400000159,87756.95412098437,42954.656945013674,42954.656945013674,35480.639099632666,35480.639099632666,35480.639099632666,35480.639099632666,35480.639099632666,35480.639099632666,0.0,0.0,0.0,78435.29604464634
2014-12-01,43315.41506063219,60878.85165533116,79126.26778578022,43315.41506063219,43315.41506063219,26478.16306744666,26478.16306744666,26478.16306744666,26478.16306744666,26478.16306744666,26478.16306744666,0.0,0.0,0.0,69793.57812807885
2015-01-01,43688.19844677133,9195.832806225095,26105.293976811514,43688.19844677133,43688.19844677133,-25825.153603730712,-25825.153603730712,-25825.153603730712,-25825.153603730712,-25825.153603730712,-25825.153603730712,0.0,0.0,0.0,17863.044843040614
2015-02-01,44061.3014407595,4561.822568076902,21756.147629034447,44061.3014407595,44061.3014407595,-30965.211845479178,-30965.211845479178,-30965.211845479178,-30965.211845479178,-30965.211845479178,-30965.211845479178,0.0,0.0,0.0,13096.089595280318
2015-03-01,44398.31546051138,38179.661404697494,55695.69578894738,44398.31546051138,44398.31546051138,2739.249859491284,2739.249859491284,2739.249859491284,2739.249859491284,2739.249859491284,2739.249859491284,0.0,0.0,0.0,47137.565320002665
2015-04-01,44771.438125236695,23930.527872721483,41275.19830743655,44771.438125236695,44771.438125236695,-12004.92457303791,-12004.92457303791,-12004.92457303791,-12004.92457303791,-12004.92457303791,-12004.92457303791,0.0,0.0,0.0,32766.513552198783
2015-05-01,45132.755391928185,17105.6510835829,33877.2340576078,45132.755391928185,45132.755391928185,-19830.65215517527,-19830.65215517527,-19830.65215517527,-19830.65215517527,-19830.65215517527,-19830.65215517527,0.0,0.0,0.0,25302.103236752915
2015-06-01,45506.47685365475,22435.238088195652,38923.44628368209,45506.47685365475,45506.47685365475,-14932.313333934782,-14932.313333934782,-14932.313333934782,-14932.313333934782,-14932.313333934782,-14932.313333934782,0.0,0.0,0.0,30574.163519719965
2015-07-01,45868.142784357886,24296.55278065395,42058.102142863936,45868.142784357886,45868.142784357886,-12797.24755232884,-12797.24755232884,-12797.24755232884,-12797.24755232884,-12797.24755232884,-12797.24755232884,0.0,0.0,0.0,33070.89523202905
2015-08-01,46243.356201303926,32078.024137623528,49372.15163411521,46243.356201303926,46243.356201303926,-5869.783383064339,-5869.783383064339,-5869.783383064339,-5869.783383064339,-5869.783383064339,-5869.783383064339,0.0,0.0,0.0,40373.57281823958
2015-09-01,46619.31379586692,67345.76711497926,84898.1418461831,46619.31379586692,46619.31379586692,29307.941682062057,29307.941682062057,29307.941682062057,29307.941682062057,29307.941682062057,29307.941682062057,0.0,0.0,0.0,75927.25547792898
2015-10-01,46983.14372608917,26630.68322294275,43834.56543437254,46983.14372608917,46983.14372608917,-12127.870402552468,-12127.870402552468,-12127.870402552468,-12127.870402552468,-12127.870402552468,-12127.870402552468,0.0,0.0,0.0,34855.273323536705
2015-11-01,47774.08824537847,76849.96688263294,93834.50081804126,47774.08824537847,47774.08824537847,37487.20856425835,37487.20856425835,37487.20856425835,37487.20856425835,37487.20856425835,37487.20856425835,0.0,0.0,0.0,85261.29680963681
2015-12-01,48541.66908083777,65452.71801768357,82802.7186426424,48541.66908083777,48541.66908083777,25272.80008956572,25272.80008956572,25272.80008956572,25272.80008956572,25272.80008956572,25272.80008956572,0.0,0.0,0.0,73814.46917040349
2016-01-01,49334.83594414572,11710.935102307225,29374.313095912737,49334.83594414572,49334.83594414572,-29193.636210631204,-29193.636210631204,-29193.636210631204,-29193.636210631204,-29193.636210631204,-29193.636210631204,0.0,0.0,0.0,20141.199733514517
2016-02-01,50128.70428338725,15815.3147791205,32879.54029831386,50128.70428338725,50128.70428338725,-25906.734008193605,-25906.734008193605,-25906.734008193605,-25906.734008193605,-25906.734008193605,-25906.734008193605,0.0,0.0,0.0,24221.970275193642
2016-03-01,50872.59943385881,44197.635279975046,61330.57677457512,50872.59943385881,50872.59943385881,1941.1372158429235,1941.1372158429235,1941.1372158429235,1941.1372158429235,1941.1372158429235,1941.1372158429235,0.0,0.0,0.0,52813.736649701736
2016-04-01,51667.797698156,24887.65109158844,42261.290539682515,51667.797698156,51667.797698156,-18155.462008259088,-18155.462008259088,-18155.462008259088,-18155.462008259088,-18155.462008259088,-18155.462008259088,0.0,0.0,0.0,33512.33568989691
2016-05-01,52437.45071014405,39998.07839261712,57931.97152980288,52437.45071014405,52437.45071014405,-2766.2177753765436,-2766.2177753765436,-2766.2177753765436,-2766.2177753765436,-2766.2177753765436,-2766.2177753765436,0.0,0.0,0.0,49671.232934767504
2016-06-01,53233.846331440414,35136.08673529835,51183.7001699026,53233.846331440414,53233.846331440414,-9837.573053317334,-9837.573053317334,-9837.573053317334,-9837.573053317334,-9837.573053317334,-9837.573053317334,0.0,0.0,0.0,43396.27327812308
2016-07-01,54004.551771404644,29283.445031262472,47316.194923916744,54004.551771404644,54004.551771404644,-15838.558792990128,-15838.558792990128,-15838.558792990128,-15838.558792990128,-15838.558792990128,-15838.558792990128,0.0,0.0,0.0,38165.99297841451
2016-08-01,54801.178368237604,27889.963294207086,45314.31278909576,54801.178368237604,54801.178368237604,-18123.17174429316,-18123.17174429316,-18123.17174429316,-18123.17174429316,-18123.17174429316,-18123.17174429316,0.0,0.0,0.0,36678.00662394444
2016-09-01,55597.807212439875,66961.21449440575,83772.94541784113,55597.807212439875,55597.807212439875,19651.091062287604,19651.091062287604,19651.091062287604,19651.091062287604,19651.091062287604,19651.091062287604,0.0,0.0,0.0,75248.89827472749
2016-10-01,56368.73835199046,54388.718875647086,70825.78812093317,56368.73835199046,56368.73835199046,6412.824962922057,6412.824962922057,6412.824962922057,6412.824962922057,6412.824962922057,6412.824962922057,0.0,0.0,0.0,62781.56331491252
2016-11-01,57165.53349498423,80217.8649300576,97312.26196548494,57165.53349498423,57165.53349498423,31557.13950448001,31557.13950448001,31557.13950448001,31557.13950448001,31557.13950448001,31557.13950448001,0.0,0.0,0.0,88722.67299946424
2016-12-01,57936.66513497841,79353.77034001099,95668.25615715161,57936.66513497841,57936.66513497841,28793.257807588503,28793.257807588503,28793.257807588503,28793.257807588503,28793.257807588503,28793.257807588503,0.0,0.0,0.0,86729.92294256692
2017-01-01,58733.50116297239,32097.06282160073,49041.735667146015,58733.50116297239,58733.50116297239,-18750.101614650288,-18750.101614650288,-18750.101614650288,-18750.101614650288,-18750.101614650288,-18750.101614650288,0.0,0.0,0.0,39983.3995483221
2017-02-01,59530.3371906388,9597.385649918424,26530.011331138223,59530.3371906388,59530.3371906388,-40817.05043273515,-40817.05043273515,-40817.05043273515,-40817.05043273515,-40817.05043273515,-40817.05043273515,0.0,0.0,0.0,18713.286757903647
2017-03-01,60250.060055831724,53410.646940252474,71118.77888480466,60250.060055831724,60250.060055831724,2282.471515681471,2282.471515681471,2282.471515681471,2282.471515681471,2282.471515681471,2282.471515681471,0.0,0.0,0.0,62532.531571513195
2017-04-01,61046.89608515246,36689.40058346841,53570.390142080134,61046.89608515246,61046.89608515246,-15992.486835130987,-15992.486835130987,-15992.486835130987,-15992.486835130987,-15992.486835130987,-15992.486835130987,0.0,0.0,0.0,45054.409250021476
2017-05-01,61818.0277264306,44663.668123609925,61966.6876470446,61818.0277264306,61818.0277264306,-8408.449182442468,-8408.449182442468,-8408.449182442468,-8408.449182442468,-8408.449182442468,-8408.449182442468,0.0,0.0,0.0,53409.57854398813
2017-06-01,62614.86375575135,41468.57634563719,59477.68657105989,62614.86375575135,62614.86375575135,-11642.748211419368,-11642.748211419368,-11642.748211419368,-11642.748211419368,-11642.748211419368,-11642.748211419368,0.0,0.0,0.0,50972.11554433198
2017-07-01,63385.99539702949,40088.46283672587,57562.08223721354,63385.99539702949,63385.99539702949,-14942.878864625442,-14942.878864625442,-14942.878864625442,-14942.878864625442,-14942.878864625442,-14942.878864625442,0.0,0.0,0.0,48443.11653240405
2017-08-01,64182.83142635024,40922.48373947218,58559.480953919556,64182.83142635024,64182.83142635024,-14068.216264796014,-14068.216264796014,-14068.216264796014,-14068.216264796014,-14068.216264796014,-14068.216264796014,0.0,0.0,0.0,50114.615161554226
2017-09-01,64979.667455670984,79814.00039208174,96874.69627481523,64979.667455670984,64979.667455670984,23020.674118207942,23020.674118207942,23020.674118207942,23020.674118207942,23020.674118207942,23020.674118207942,0.0,0.0,0.0,88000.34157387892
2017-10-01,65750.79909694912,57687.50216740512,75285.98822319866,65750.79909694912,65750.79909694912,269.1237620739942,269.1237620739942,269.1237620739942,269.1237620739942,269.1237620739942,269.1237620739942,0.0,0.0,0.0,66019.92285902312
2017-11-01,66547.63512626986,90933.65345879357,108009.16102191129,66547.63512626986,66547.63512626986,33503.89951523619,33503.89951523619,33503.89951523619,33503.89951523619,33503.89951523619,33503.89951523619,0.0,0.0,0.0,100051.53464150605
2017-12-01,67318.76676754799,86467.7775709236,103195.54933395935,67318.76676754799,67318.76676754799,27652.449707734602,27652.449707734602,27652.449707734602,27652.449707734602,27652.449707734602,27652.449707734602,0.0,0.0,0.0,94971.21647528259
2018-01-01,68115.60279686874,37474.89254622496,55565.14265715171,68106.09558993939,68122.45058236328,-22342.884298456556,-22342.884298456556,-22342.884298456556,-22342.884298456556,-22342.884298456556,-22342.884298456556,0.0,0.0,0.0,45772.718498412185
2018-02-01,68912.4388261895,24271.037627346916,41818.902550074556,68881.9415855675,68934.50628893987,-35937.12784563504,-35937.12784563504,-35937.12784563504,-35937.12784563504,-35937.12784563504,-35937.12784563504,0.0,0.0,0.0,32975.31098055445
2018-03-01,69632.16169138241,63032.64323516975,81162.63171644048,69571.26523761399,69681.3117223456,2549.2715340407417,2549.2715340407417,2549.2715340407417,2549.2715340407417,2549.2715340407417,2549.2715340407417,0.0,0.0,0.0,72181.43322542316
2018-04-01,70428.99772070316,47434.794470028086,64882.61561154369,70333.33309668946,70511.16556325566,-13941.98833322888,-13941.98833322888,-13941.98833322888,-13941.98833322888,-13941.98833322888,-13941.98833322888,0.0,0.0,0.0,56487.00938747428
2018-05-01,71200.12936198131,47881.20751709148,65396.23331644419,71064.43714133101,71318.02712877085,-14098.924521037088,-14098.924521037088,-14098.924521037088,-14098.924521037088,-14098.924521037088,-14098.924521037088,0.0,0.0,0.0,57101.20484094422
2018-06-01,71996.96539130204,50127.94850488431,67669.62030702681,71815.49218815521,72154.4422197554,-13342.187322919373,-13342.187322919373,-13342.187322919373,-13342.187322919373,-13342.187322919373,-13342.187322919373,0.0,0.0,0.0,58654.77806838267
2018-07-01,72768.09703258019,50330.22294953973,67671.7597576364,72535.95066493309,72972.50448639248,-13928.402137492896,-13928.402137492896,-13928.402137492896,-13928.402137492896,-13928.402137492896,-13928.402137492896,0.0,0.0,0.0,58839.69489508729
2018-08-01,73564.93306190091,54357.202267250104,71911.87191434034,73274.96130146651,73818.31983877064,-9981.639410518652,-9981.639410518652,-9981.639410518652,-9981.639410518652,-9981.639410518652,-9981.639410518652,0.0,0.0,0.0,63583.293651382264
2018-09-01,74361.76909122166,91646.83914001785,109103.75382223132,74014.0913481315,74661.96166342645,26240.8608455341,26240.8608455341,26240.8608455341,26240.8608455341,26240.8608455341,26240.8608455341,0.0,0.0,0.0,100602.62993675577
2018-10-01,75132.90073249981,60997.84672964622,78180.31876127578,74726.8544396538,75478.58145846482,-5913.076317957342,-5913.076317957342,-5913.076317957342,-5913.076317957342,-5913.076317957342,-5913.076317957342,0.0,0.0,0.0,69219.82441454247
2018-11-01,75929.73676182056,103257.06872056129,119532.34051259464,75458.268481983,76332.53709592106,35480.639099644046,35480.639099644046,35480.639099644046,35480.639099644046,35480.639099644046,35480.639099644046,0.0,0.0,0.0,111410.3758614646
2018-12-01,76700.86840309869,94670.64661951014,111832.65257866499,76157.38423746917,77162.63669520187,26478.163067449437,26478.163067449437,26478.163067449437,26478.163067449437,26478.163067449437,26478.163067449437,0.0,0.0,0.0,103179.03147054813
